ID,City_ZhT,City_Py,Prov_Py,Prov_ZhT,Lat,Long,Level,Level_Eng,City_ZhS,Source
56,濉溪,Suixi,Anhui,安徽,33.8907,116.7747,,,濉溪,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
72,枞陽,Zongyang,Anhui,安徽,30.6989,117.2042,,,枞阳,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
80,豐台,Fengtai,Beijing,北京,39.8476,116.2723,,,丰台,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
84,海澱,Haidian,Beijing,北京,39.9906,116.2887,,,海淀,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
131,光澤,Guangze,Fujian,福建,27.5435,117.3316,,,光泽,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
136,涵江,Hanjiang,Fujian,福建,25.4705,119.1035,,,涵江,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
140,將樂,Jiangle,Fujian,福建,26.7423,117.4646,,,将乐,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
142,建甯,Jianning,Fujian,福建,26.8345,116.8385,,,建宁,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
150,閩清,Minqing,Fujian,福建,26.2248,118.8597,,,闽清,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
180,漳平,Zhangping,Fujian,福建,25.2938,117.4148,,,漳平,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
183,柘榮,Zherong,Fujian,福建,27.24,119.8944,,,柘荣,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
185,周甯,Zhouning,Fujian,福建,27.1067,119.335,,,周宁,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
211,合作,Hezuo,Gansu,甘肅,34.9984,102.91,,,合作,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
296,東莞,Dongguan,Guangdong,廣東,23.0475,113.7493,,,东莞,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
342,麻章,Mazhang,Guangdong,廣東,21.2757,110.3221,,,麻章,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
357,仁化,Renhua,Guangdong,廣東,25.0913,113.7445,,,仁化,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
408,博白,Bobai,Guangxi,廣西,22.2708,109.9743,,,博白,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
416,大化,Dahua,Guangxi,廣西,23.768,107.9841,,,大化,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
423,扶綏,Fusui,Guangxi,廣西,22.6394,107.9075,,,扶绥,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
427,灌陽,Guanyang,Guangxi,廣西,25.4952,111.1349,,,灌阳,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
430,桂林,Guilin,Guangxi,廣西,25.2401892074905,110.180853086495,市,Municipality,桂林,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
453,鹿寨,Luzhai,Guangxi,廣西,24.4975,109.7331,,,鹿寨,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
463,平南,Pingnan,Guangxi,廣西,23.5422,110.3895,,,平南,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
468,全州,Quanzhou,Guangxi,廣西,25.9446,111.0364,市,,全州,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
471,融水,Rongshui,Guangxi,廣西,25.0667,109.25,,,融水,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
480,天等,Tiandeng,Guangxi,廣西,23.1266,107.0937,,,天等,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
484,武宣,Wuxuan,Guangxi,廣西,23.6247,109.652,,,武宣,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
487,象州,Xiangzhou,Guangxi,廣西,23.9728,109.6668,,,象州,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
490,西林,Xilin,Guangxi,廣西,24.4988,105.0938,,,西林,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
499,鍾山,Zhongshan,Guangxi,廣西,24.5333,111.3,,,钟山,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
501,資源,Ziyuan,Guangxi,廣西,26.0367,110.6406,,,资源,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
511,赫章,Hezhang,Guizhou,貴州,27.1222,104.7239,,,赫章,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
524,織金,Zhijin,Guizhou,貴州,26.6668,105.768,,,织金,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
750,大名,Daming,Hebei,河北,36.2861,115.1436,,,大名,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
752,東光,Dongguang,Hebei,河北,37.8851,116.5328,,,东光,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
757,豐甯,Fengning,Hebei,河北,41.2108,116.6404,,,丰宁,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
759,阜城,Fucheng,Hebei,河北,37.8691,116.1506,,,阜城,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
761,館陶,Guantao,Hebei,河北,36.541,115.2829,,,馆陶,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
770,康保,Kangbao,Hebei,河北,41.8464,114.6139,,,康保,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
775,臨西,Linxi,Hebei,河北,36.8627,115.4925,,,临西,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
777,隆化,Longhua,Hebei,河北,41.3246,117.7344,,,隆化,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
793,魏縣,Weixian,Hebei,河北,36.3565,114.9337,,,魏县,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
801,玉田,Yutian,Hebei,河北,39.8786,117.7392,,,玉田,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
806,涿鹿,Zhuolu,Hebei,河北,40.3694,115.2161,,,涿鹿,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
808,遵化,Zunhua,Hebei,河北,40.1881,117.9593,,,遵化,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
812,拜泉,Baiquan,Heilongjiang,黑龍江,47.6018,126.0819,35585,,拜泉,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
827,東甯,Dongning,Heilongjiang,黑龍江,44.0608,131.1187,,,东宁,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
836,富裕,Fuyu,Heilongjiang,黑龍江,47.7976,124.4573,,,富裕,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
851,桦南,Huanan,Heilongjiang,黑龍江,46.2207,130.525,,,桦南,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
853,呼中,Huzhong,Heilongjiang,黑龍江,51.95,123.6667,,,呼中,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
859,蘭西,Lanxi,Heilongjiang,黑龍江,46.2664,126.276,11034,,兰西,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
872,木蘭,Mulan,Heilongjiang,黑龍江,45.9471,128.0371,,,木兰,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
879,青岡,Qinggang,Heilongjiang,黑龍江,46.69,126.1,6454,,青冈,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
887,孫吳,Sunwu,Heilongjiang,黑龍江,49.4175,127.3155,,,孙吴,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
894,通河,Tonghe,Heilongjiang,黑龍江,45.9761,128.7429,,,通河,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
896,望奎,Wangkui,Heilongjiang,黑龍江,46.8328,126.4777,,,望奎,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
898,五常,Wuchang,Heilongjiang,黑龍江,44.9143,127.15,,,五常,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
915,依蘭,Yilan,Heilongjiang,黑龍江,46.3162,129.5545,市,,依兰,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
